Field Name,Datatype,Start,End,Length,Description
Original_PID,int(12),1,12,12,Property ID on the 7.0 format
Owner_ID,int(12),13,24,12,Owner ID
Owner_Name,int(12),25,94,70,Owner Name
New_PID,int(12),95,106,12,Property ID on the 8.0 format for the specific Owner
UDI_Group,int(12),107,118,12,UDI Group this property is associated with.
